COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 3,HD4003,BARE HARD DRAWN COPPER BAR 40 X 3MM,5.4
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 3,HDT4003,TINNED HARD DRAWN COPPER BAR 40 X 3MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 4,HD4004,BARE HARD DRAWN COPPER BAR 40 X 4MM,10.23
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 4,HDT4004,TINNED HARD DRAWN COPPER BAR 40 X 4MM,8.79816
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 5,HD4005,BARE HARD DRAWN COPPER BAR 40 X 5MM,13.5725
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 5,HDT4005,TINNED HARD DRAWN COPPER BAR 40 X 5MM,7.11
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 6,HD4006,BARE HARD DRAWN COPPER BAR 40 X 6MM,17.5
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 6,HDT4006,TINNED HARD DRAWN COPPER BAR 40 X 6MM,12.7
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 8,HD4008,BARE HARD DRAWN COPPER BAR 40 X 8MM,0
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 8,HDT4008,TINNED HARD DRAWN COPPER BAR 40 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 10,HD5010,BARE HARD DRAWN COPPER BAR 50 X 10MM,34.93235
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 10,HDT5010,TINNED HARD DRAWN COPPER BAR 50 X 10MM,35.32
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 12,HD5012,BARE HARD DRAWN COPPER BAR 50 X 12MM,41.65523
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 12,HDT5012,TINNED HARD DRAWN COPPER BAR 50 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 15,HD5015,BARE HARD DRAWN COPPER BAR 50 X 15MM,0
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 15,HDT5015,TINNED HARD DRAWN COPPER BAR 50 X 15MM,
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 3,HD5003,BARE HARD DRAWN COPPER BAR 50 X 3MM,6.36
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 3,HDT5003,TINNED HARD DRAWN COPPER BAR 50 X 3MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 4,HD5004,BARE HARD DRAWN COPPER BAR 50 X 4MM,14.8581
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 4,HDT5004,TINNED HARD DRAWN COPPER BAR 50 X 4MM,17.35
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 5,HD5005,BARE HARD DRAWN COPPER BAR 50 X 5MM,13.19578
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 5,HDT5005,TINNED HARD DRAWN COPPER BAR 50 X 5MM,9.72
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 6,HD5006,BARE HARD DRAWN COPPER BAR 50 X 6MM,20.00549
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 6,HDT5006,TINNED HARD DRAWN COPPER BAR 50 X 6MM,16.10864
Bar material / finish,Bare Hard Drawn Copper Bar,50 x 8,HD5008,BARE HARD DRAWN COPPER BAR 50 X 8MM,26.67132
Bar material / finish,Tinned Hard Drawn Copper Bar,50 x 8,HDT5008,TINNED HARD DRAWN COPPER BAR 50 X 8MM,23.35
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 10,HD6010,BARE HARD DRAWN COPPER BAR 60 X 10MM,29.59886
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 10,HDT6010,TINNED HARD DRAWN COPPER BAR 60 X 10MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 12,HD6012,BARE HARD DRAWN COPPER BAR 60 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 12,HDT6012,TINNED HARD DRAWN COPPER BAR 60 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 15,HD6015,BARE HARD DRAWN COPPER BAR 60 X 15MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 15,HDT6015,TINNED HARD DRAWN COPPER BAR 60 X 15MM,
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 3,HD6003,BARE HARD DRAWN COPPER BAR 60 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 3,HDT6003,TINNED HARD DRAWN COPPER BAR 60 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 4,HD6004,BARE HARD DRAWN COPPER BAR 60 X 4MM,15.6375
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 4,HDT6004,TINNED HARD DRAWN COPPER BAR 60 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 5,HD6005,BARE HARD DRAWN COPPER BAR 60 X 5MM,17.33
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 5,HDT6005,TINNED HARD DRAWN COPPER BAR 60 X 5MM,16.67
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 6,HD6006,BARE HARD DRAWN COPPER BAR 60 X 6MM,29.04324
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 6,HDT6006,TINNED HARD DRAWN COPPER BAR 60 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,60 x 8,HD6008,BARE HARD DRAWN COPPER BAR 60 X 8MM,49.79
Bar material / finish,Tinned Hard Drawn Copper Bar,60 x 8,HDT6008,TINNED HARD DRAWN COPPER BAR 60 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,63 x 10,HD6310,BARE HARD DRAWN COPPER BAR 63 X 10MM,
